Iteration,Cost,Temperature
0,22980,100
1,22980,100
2,22980,100
3,22980,100
4,22980,100
5,22820,100
6,22215,100
7,21782,100
8,21782,100
9,21782,100
10,21452,100
11,21452,95
12,21452,95
13,21452,95
14,21452,95
15,18286,95
16,18286,95
17,18286,95
18,18286,95
19,18286,95
20,18286,95
21,18286,94.05
22,18286,94.05
23,18286,94.05
24,18286,94.05
25,18286,94.05
26,16429,94.05
27,16147,94.05
28,16147,94.05
29,16147,94.05
30,16147,94.05
31,16156,93.1095
32,16156,93.1095
33,16156,93.1095
34,16156,93.1095
35,16156,93.1095
36,16156,93.1095
37,16156,93.1095
38,14372,93.1095
39,14381,93.1095
40,14381,93.1095
41,14381,88.454
42,14381,88.454
43,14381,88.454
44,14381,88.454
45,14381,88.454
46,14120,88.454
47,14120,88.454
48,14120,88.454
49,14120,88.454
50,14120,88.454
51,13844,87.5695
52,13835,87.5695
53,13835,87.5695
54,13835,87.5695
55,13835,87.5695
56,13835,87.5695
57,13835,87.5695
58,13835,87.5695
59,13835,87.5695
60,13835,87.5695
61,13835,86.6938
62,13835,86.6938
63,13835,86.6938
64,13835,86.6938
65,13835,86.6938
66,13835,86.6938
67,13835,86.6938
68,13835,86.6938
69,13844,86.6938
70,13844,86.6938
71,13844,85.8269
72,13844,85.8269
73,13844,85.8269
74,13844,85.8269
75,13844,85.8269
76,13844,85.8269
77,13844,85.8269
78,13844,85.8269
79,13844,85.8269
80,13844,85.8269
81,13844,128.74
82,13844,128.74
83,13844,128.74
84,13844,128.74
85,13844,128.74
86,13844,128.74
87,13844,128.74
88,13844,128.74
89,13844,128.74
90,13844,128.74
91,13844,193.11
92,13844,193.11
93,13938,193.11
94,13938,193.11
95,13938,193.11
96,13938,193.11
97,14048,193.11
98,14048,193.11
99,14048,193.11
100,13938,193.11
101,13938,191.179
102,13938,191.179
103,13938,191.179
104,13938,191.179
105,13938,191.179
106,13938,191.179
107,13938,191.179
108,13938,191.179
109,13938,191.179
110,14029,191.179
111,14029,189.268
112,14029,189.268
113,14029,189.268
114,14029,189.268
115,14029,189.268
116,14029,189.268
117,14029,189.268
118,14233,189.268
119,14233,189.268
120,14233,189.268
121,14233,187.375
122,14233,187.375
123,14233,187.375
124,14029,187.375
125,14029,187.375
126,14029,187.375
127,14029,187.375
128,14029,187.375
129,14413,187.375
130,14413,187.375
131,14413,185.501
132,14413,185.501
133,14413,185.501
134,14413,185.501
135,14322,185.501
136,14322,185.501
137,14322,185.501
138,14322,185.501
139,14322,185.501
140,14322,185.501
141,14322,183.646
142,14322,183.646
143,14322,183.646
144,14322,183.646
145,14322,183.646
146,14322,183.646
147,14322,183.646
148,14322,183.646
149,14322,183.646
150,14322,183.646
151,14322,174.464
152,14322,174.464
153,14322,174.464
154,14228,174.464
155,13844,174.464
156,13844,174.464
157,13844,174.464
158,13954,174.464
159,13954,174.464
160,13954,174.464
161,13954,165.741
162,13954,165.741
163,13954,165.741
164,13954,165.741
165,13954,165.741
166,13954,165.741
167,13954,165.741
168,13954,165.741
169,13945,165.741
170,13945,165.741
171,13945,157.454
172,13945,157.454
173,13945,157.454
174,13945,157.454
175,13945,157.454
176,14090,157.454
177,14090,157.454
178,14090,157.454
179,14125,157.454
180,14125,157.454
181,14125,149.581
182,14125,149.581
183,14015,149.581
184,14015,149.581
185,14015,149.581
186,14015,149.581
187,14015,149.581
188,14015,149.581
189,14015,149.581
190,14015,149.581
191,14015,148.085
192,14015,148.085
193,14015,148.085
194,14015,148.085
195,14015,148.085
196,14015,148.085
197,14015,148.085
198,14024,148.085
199,14300,148.085
200,14300,148.085
201,14410,146.604
202,14410,146.604
203,14410,146.604
204,14410,146.604
205,14410,146.604
206,14410,146.604
207,14410,146.604
208,14410,146.604
209,14410,146.604
210,14410,146.604
211,14410,145.138
212,14410,145.138
213,14410,145.138
214,14410,145.138
215,14410,145.138
216,14410,145.138
217,14410,145.138
218,14410,145.138
219,14410,145.138
220,14410,145.138
221,14410,137.881
222,14410,137.881
223,14134,137.881
224,14134,137.881
225,14134,137.881
226,14134,137.881
227,14134,137.881
228,14134,137.881
229,14134,137.881
230,14134,137.881
231,14134,136.502
232,14134,136.502
233,14134,136.502
234,14134,136.502
235,14134,136.502
236,14134,136.502
237,14134,136.502
238,14134,136.502
239,14134,136.502
240,14134,136.502
241,14134,135.137
242,14134,135.137
243,14134,135.137
244,14134,135.137
245,14134,135.137
246,14134,135.137
247,14134,135.137
248,14134,135.137
249,14134,135.137
250,14134,135.137
251,14134,133.786
252,14134,133.786
253,14134,133.786
254,14134,133.786
255,14134,133.786
256,14134,133.786
257,14134,133.786
258,14134,133.786
259,14134,133.786
260,14134,133.786
261,14134,127.097
262,14134,127.097
263,14134,127.097
264,14134,127.097
265,14134,127.097
266,14134,127.097
267,14134,127.097
268,14134,127.097
269,14134,127.097
270,14134,127.097
271,14134,125.826
272,14134,125.826
273,14134,125.826
274,14134,125.826
275,14134,125.826
276,14134,125.826
277,14134,125.826
278,14134,125.826
279,14134,125.826
280,14134,125.826
281,14134,124.568
282,14134,124.568
283,14134,124.568
284,14134,124.568
285,14134,124.568
286,14134,124.568
287,14134,124.568
288,14134,124.568
289,14134,124.568
290,14134,124.568
291,14134,123.322
292,14134,123.322
293,14134,123.322
294,14125,123.322
295,14125,123.322
296,14125,123.322
297,14125,123.322
298,14134,123.322
299,14134,123.322
300,14134,123.322
301,14134,122.089
302,14134,122.089
303,14134,122.089
304,14134,122.089
305,14134,122.089
306,14134,122.089
307,14134,122.089
308,14134,122.089
309,14134,122.089
310,14134,122.089
311,14134,120.868
312,14134,120.868
313,14134,120.868
314,14134,120.868
315,14134,120.868
316,14134,120.868
317,14134,120.868
318,14134,120.868
319,14134,120.868
320,14134,120.868
321,14134,119.659
322,14134,119.659
323,14134,119.659
324,14024,119.659
325,14024,119.659
326,14024,119.659
327,14024,119.659
328,14024,119.659
329,14024,119.659
330,14024,119.659
331,14024,118.462
332,14024,118.462
333,14024,118.462
334,14024,118.462
335,14024,118.462
336,14024,118.462
337,14024,118.462
338,14024,118.462
339,14024,118.462
340,14024,118.462
341,14024,117.278
342,14024,117.278
343,14024,117.278
344,14024,117.278
345,14024,117.278
346,14024,117.278
347,14024,117.278
348,14024,117.278
349,14015,117.278
350,14015,117.278
351,14024,116.105
352,14024,116.105
353,14024,116.105
354,14024,116.105
355,14024,116.105
356,14024,116.105
357,14024,116.105
358,14024,116.105
359,14024,116.105
360,14024,116.105
361,13879,114.944
362,13879,114.944
363,13879,114.944
364,13879,114.944
365,13879,114.944
366,13879,114.944
367,13879,114.944
368,13879,114.944
369,13879,114.944
370,13870,114.944
371,13870,113.795
372,13870,113.795
373,13870,113.795
374,13870,113.795
375,13870,113.795
376,13870,113.795
377,13870,113.795
378,13870,113.795
379,13870,113.795
380,13870,113.795
381,13870,170.692
382,13870,170.692
383,13870,170.692
384,13870,170.692
385,13870,170.692
386,13870,170.692
387,13870,170.692
388,13870,170.692
389,13870,170.692
390,13870,170.692
391,13870,168.985
392,13870,168.985
393,13870,168.985
394,13870,168.985
395,13870,168.985
396,13870,168.985
397,13870,168.985
398,13870,168.985
399,13870,168.985
400,13870,168.985
401,13870,167.295
402,13870,167.295
403,13870,167.295
404,13870,167.295
405,13870,167.295
406,13870,167.295
407,13870,167.295
408,13870,167.295
409,13870,167.295
410,13879,167.295
411,13879,158.93
412,13879,158.93
413,13879,158.93
414,13879,158.93
415,13844,158.93
416,13844,158.93
417,13844,158.93
418,14123,158.93
419,14123,158.93
420,14123,158.93
421,14123,157.341
422,14123,157.341
423,14123,157.341
424,14123,157.341
425,14123,157.341
426,14123,157.341
427,14123,157.341
428,14123,157.341
429,14123,157.341
430,14123,157.341
431,14327,155.768
432,14327,155.768
433,14327,155.768
434,14327,155.768
435,14327,155.768
436,14327,155.768
437,14327,155.768
438,14327,155.768
439,14327,155.768
440,14588,155.768
441,14588,147.979
442,14588,147.979
443,14588,147.979
444,14588,147.979
445,14588,147.979
446,14588,147.979
447,14588,147.979
448,14588,147.979
449,14588,147.979
450,14588,147.979
451,14588,140.58
452,14588,140.58
453,14588,140.58
454,14588,140.58
455,14588,140.58
456,14588,140.58
457,14588,140.58
458,14588,140.58
459,14588,140.58
460,14588,140.58
461,14588,139.174
462,14494,139.174
463,14494,139.174
464,14494,139.174
465,14494,139.174
466,14494,139.174
467,14494,139.174
468,14494,139.174
469,14494,139.174
470,14494,139.174
471,14494,137.783
472,14494,137.783
473,14494,137.783
474,14494,137.783
475,14494,137.783
476,14494,137.783
477,14494,137.783
478,14494,137.783
479,14233,137.783
480,14233,137.783
481,14233,136.405
482,14233,136.405
483,14233,136.405
484,14233,136.405
485,14233,136.405
486,14233,136.405
487,14233,136.405
488,14233,136.405
489,14233,136.405
490,14233,136.405
491,14029,135.041
492,14029,135.041
493,14029,135.041
494,14029,135.041
495,14029,135.041
496,14029,135.041
497,14029,135.041
498,14029,135.041
499,14029,135.041
500,13879,135.041
501,13879,133.69
502,13879,133.69
503,13879,133.69
504,13879,133.69
505,13879,133.69
506,13879,133.69
507,13844,133.69
508,13844,133.69
509,13835,133.69
510,13835,133.69
511,13835,132.354
512,13835,132.354
513,13835,132.354
514,13835,132.354
515,13835,132.354
516,13835,132.354
517,13835,132.354
518,13835,132.354
519,13835,132.354
520,13835,132.354
521,13835,198.53
522,13835,198.53
523,13835,198.53
524,13835,198.53
525,13835,198.53
526,13835,198.53
527,13835,198.53
528,13835,198.53
529,13835,198.53
530,13835,198.53
531,14125,196.545
532,14125,196.545
533,14125,196.545
534,14125,196.545
535,14125,196.545
536,14125,196.545
537,14125,196.545
538,14125,196.545
539,14125,196.545
540,14125,196.545
541,14125,194.58
542,14125,194.58
543,14125,194.58
544,14125,194.58
545,14125,194.58
546,14125,194.58
547,14125,194.58
548,14125,194.58
549,13835,194.58
550,13835,194.58
551,13835,192.634
552,13835,192.634
553,13835,192.634
554,13835,192.634
555,13835,192.634
556,13835,192.634
557,13835,192.634
558,13835,192.634
559,13835,192.634
560,13835,192.634
561,13835,183.002
562,13835,183.002
563,13835,183.002
564,13835,183.002
565,13835,183.002
566,13835,183.002
567,13835,183.002
568,13835,183.002
569,13835,183.002
570,13835,183.002
571,13835,173.852
572,13835,173.852
573,13835,173.852
574,14024,173.852
575,14024,173.852
576,14024,173.852
577,14024,173.852
578,14059,173.852
579,14059,173.852
580,14059,173.852
581,14059,172.113
582,14059,172.113
583,14335,172.113
584,14335,172.113
585,14335,172.113
586,15121,172.113
587,15121,172.113
588,14801,172.113
589,15071,172.113
590,15071,172.113
591,15071,163.508
592,15071,163.508
593,15071,163.508
594,15071,163.508
595,15071,163.508
596,15071,163.508
597,15071,163.508
598,15071,163.508
599,15071,163.508
600,15071,163.508
601,15071,161.873
602,15071,161.873
603,15080,161.873
604,15080,161.873
605,15080,161.873
606,15080,161.873
607,15080,161.873
608,15080,161.873
609,15080,161.873
610,15080,161.873
611,15080,160.254
612,15080,160.254
613,15080,160.254
614,15080,160.254
615,15080,160.254
616,15080,160.254
617,15080,160.254
618,15080,160.254
619,15080,160.254
620,15080,160.254
621,15080,158.651
622,15080,158.651
623,15080,158.651
624,15080,158.651
