Iteration,Cost,Temperature
0,1832899,100
1,1832899,100
2,1832899,100
3,1816282,100
4,1816282,100
5,1793442,100
6,1793442,100
7,1793442,100
8,1793442,100
9,1793442,100
10,1793442,99
11,1714723,99
12,1714723,99
13,1714730,99
14,1714730,99
15,1699228,99
16,1659057,99
17,1659057,99
18,1613464,99
19,1613464,99
20,1613464,94.05
21,1609410,94.05
22,1609410,94.05
23,1602105,94.05
24,1591767,94.05
25,1591126,94.05
26,1591126,94.05
27,1591126,94.05
28,1591126,94.05
29,1591126,94.05
30,1587766,89.3475
31,1587766,89.3475
32,1587766,89.3475
33,1587766,89.3475
34,1587766,89.3475
35,1587766,89.3475
36,1587766,89.3475
37,1587147,89.3475
38,1577948,89.3475
39,1577948,89.3475
40,1577948,88.454
41,1544227,88.454
42,1542415,88.454
43,1532115,88.454
44,1528298,88.454
45,1528298,88.454
46,1528298,88.454
47,1528298,88.454
48,1528298,88.454
49,1528298,88.454
50,1528298,84.0313
51,1519556,84.0313
52,1511023,84.0313
53,1511023,84.0313
54,1506232,84.0313
55,1506232,84.0313
56,1501128,84.0313
57,1501128,84.0313
58,1501128,84.0313
59,1501128,84.0313
60,1501128,79.8298
61,1501128,79.8298
62,1501128,79.8298
63,1501128,79.8298
64,1501128,79.8298
65,1501128,79.8298
66,1501128,79.8298
67,1501128,79.8298
68,1501128,79.8298
69,1501128,79.8298
70,1501128,79.0315
71,1501128,79.0315
72,1491620,79.0315
73,1491620,79.0315
74,1491620,79.0315
75,1491620,79.0315
76,1486896,79.0315
77,1486896,79.0315
78,1486896,79.0315
79,1486896,79.0315
80,1486896,78.2411
81,1484318,78.2411
82,1480528,78.2411
83,1480528,78.2411
84,1480528,78.2411
85,1480528,78.2411
86,1480528,78.2411
87,1480528,78.2411
88,1473448,78.2411
89,1473448,78.2411
90,1473448,77.4587
91,1473448,77.4587
92,1473448,77.4587
93,1473448,77.4587
94,1473448,77.4587
95,1473448,77.4587
96,1473448,77.4587
97,1470145,77.4587
98,1470145,77.4587
99,1470145,77.4587
100,1470129,76.6841
101,1461786,76.6841
102,1461786,76.6841
103,1461786,76.6841
104,1461786,76.6841
105,1461856,76.6841
106,1456873,76.6841
107,1427301,76.6841
108,1427301,76.6841
109,1423008,76.6841
110,1423008,72.8499
111,1423008,72.8499
112,1423008,72.8499
113,1420369,72.8499
114,1420369,72.8499
115,1419873,72.8499
116,1419873,72.8499
117,1419873,72.8499
118,1419299,72.8499
119,1410368,72.8499
120,1405424,69.2074
121,1405424,69.2074
122,1405424,69.2074
123,1405424,69.2074
124,1395714,69.2074
125,1395714,69.2074
126,1395714,69.2074
127,1393361,69.2074
128,1393361,69.2074
129,1393361,69.2074
130,1393361,68.5154
131,1393361,68.5154
132,1388863,68.5154
133,1388863,68.5154
134,1388863,68.5154
135,1388863,68.5154
136,1388879,68.5154
137,1388879,68.5154
138,1388879,68.5154
139,1388879,68.5154
140,1388879,67.8302
141,1388879,67.8302
142,1388879,67.8302
143,1388879,67.8302
144,1388425,67.8302
145,1388425,67.8302
146,1377839,67.8302
147,1377839,67.8302
148,1377839,67.8302
149,1377839,67.8302
150,1377839,67.1519
151,1377839,67.1519
152,1377839,67.1519
153,1377839,67.1519
154,1377839,67.1519
155,1377029,67.1519
156,1377029,67.1519
157,1377029,67.1519
158,1377029,67.1519
159,1377029,67.1519
160,1377029,66.4804
161,1370924,66.4804
162,1370924,66.4804
163,1370924,66.4804
164,1363988,66.4804
165,1362281,66.4804
166,1362281,66.4804
167,1361612,66.4804
168,1361740,66.4804
169,1361740,66.4804
170,1361740,63.1564
171,1361740,63.1564
172,1361243,63.1564
173,1359207,63.1564
174,1359207,63.1564
175,1359207,63.1564
176,1359207,63.1564
177,1359207,63.1564
178,1357605,63.1564
179,1351201,63.1564
180,1351163,59.9986
181,1351163,59.9986
182,1351193,59.9986
183,1351193,59.9986
184,1350893,59.9986
185,1350893,59.9986
186,1350779,59.9986
187,1350644,59.9986
188,1350638,59.9986
189,1350638,59.9986
190,1350368,56.9986
191,1350368,56.9986
192,1350384,56.9986
193,1350384,56.9986
194,1350426,56.9986
195,1350137,56.9986
196,1350095,56.9986
197,1350095,56.9986
198,1350095,56.9986
199,1350039,56.9986
200,1349956,54.1487
201,1349956,54.1487
202,1349969,54.1487
203,1349969,54.1487
204,1349969,54.1487
205,1349981,54.1487
206,1349527,54.1487
207,1349466,54.1487
208,1349466,54.1487
209,1349157,54.1487
210,1349154,51.4413
211,1349154,51.4413
212,1349154,51.4413
213,1348999,51.4413
214,1348999,51.4413
215,1348987,51.4413
216,1348987,51.4413
217,1348983,51.4413
218,1348723,51.4413
219,1348674,51.4413
220,1348674,48.8692
221,1347991,48.8692
222,1347991,48.8692
223,1347661,48.8692
224,1347661,48.8692
225,1347661,48.8692
226,1347661,48.8692
227,1347661,48.8692
228,1347661,48.8692
229,1347544,48.8692
230,1347172,48.3805
231,1347149,48.3805
232,1347149,48.3805
233,1347111,48.3805
234,1347111,48.3805
