Iteration,Cost
0,22980
1,22980
2,22980
3,22980
4,21290
5,21290
6,19906
7,19906
8,19906
9,18470
10,18470
11,18470
12,18470
13,18470
14,18470
15,18252
16,18252
17,18252
18,18252
19,18252
20,18252
21,16532
22,15340
23,15340
24,15340
25,15340
26,15340
27,14990
28,14990
29,14990
30,14990
31,14990
32,14990
33,14990
34,14990
35,14990
36,14990
37,14990
38,14990
39,14990
40,14990
41,14990
42,14990
43,14756
44,14756
45,14756
46,14756
47,14756
48,14756
49,14756
50,14756
51,14611
52,14611
53,14611
54,14611
55,14650
56,14650
57,14611
58,14611
59,14611
60,14611
61,14611
62,14611
63,14611
64,14611
65,14611
66,14611
67,14611
68,14611
69,14611
70,14611
71,14611
72,14611
73,14611
74,14611
75,14611
76,14611
77,14611
78,14611
79,14611
80,14611
81,14611
82,14611
83,14611
84,14611
85,14611
86,14611
87,14611
88,14611
89,14611
90,14611
91,14611
92,14611
93,14335
94,14359
95,14359
96,14359
97,14359
98,14359
99,14359
100,14359
101,14359
102,14359
103,14359
104,14359
105,14359
106,14359
107,14359
108,14359
109,14359
110,14359
111,14359
112,14359
113,14155
114,14155
115,14155
116,14155
117,14155
118,14155
119,14155
120,14155
121,14155
122,14155
123,14155
124,13879
125,13879
126,13879
127,13879
128,13879
129,13879
130,13879
131,13879
132,13879
133,13879
134,13879
135,13879
136,13879
137,13879
138,13879
139,13879
140,13879
141,13879
142,13879
143,13844
144,13844
145,13844
146,13879
147,13879
148,13879
149,13879
150,13879
151,13879
152,13879
153,13879
154,13879
155,13879
156,13879
157,13879
158,13879
159,13879
160,13879
161,13879
162,13879
163,13879
164,13879
165,13879
166,13879
167,13879
168,13879
169,13879
170,13879
171,13879
172,13879
173,13879
174,13844
175,13844
176,13844
177,13844
178,13844
179,13844
180,13844
181,13844
182,13844
183,13844
184,13844
185,13844
186,13844
187,13844
188,13844
189,13844
190,13844
191,13844
192,13844
193,13844
194,13844
195,13844
196,13844
197,13844
198,13844
199,13844
200,13844
201,13844
202,13844
203,13844
204,13844
205,13844
206,13844
207,13844
208,13844
209,13844
210,13844
211,13844
212,13844
213,13844
214,13844
215,13844
216,13844
217,13844
218,13844
219,13844
220,13844
221,13844
222,13844
223,13844
224,13844
225,13844
226,13844
227,13844
228,13844
229,13844
230,13844
231,13844
232,13835
233,13835
234,13835
235,13835
236,13835
237,13835
238,13835
239,13835
240,13835
241,13835
242,13835
243,13835
244,13835
245,13835
246,13835
247,13835
248,13835
249,13835
250,13835
251,13835
252,13835
253,13835
254,13835
255,13835
256,13835
257,13835
258,13835
259,13835
260,13835
261,13835
262,13835
263,13835
264,13835
265,13835
266,13835
267,13835
268,13835
269,13835
270,13835
271,13835
272,13835
273,13835
274,13835
275,13835
276,13835
277,13835
278,13835
279,13835
280,13835
281,13835
282,13835
283,13835
284,13835
285,13835
286,13835
287,13835
288,13835
289,13835
290,13835
291,13835
292,13835
293,13835
294,13835
295,13835
296,13835
297,13835
298,13835
299,13835
300,13835
301,13835
302,13835
303,13835
304,13835
305,13835
306,13835
307,13835
308,13835
309,13835
310,13835
311,13835
312,13835
313,13844
314,13844
315,13844
316,13844
317,13844
318,13844
319,13844
320,13844
321,13844
322,13844
323,13844
324,13844
325,13844
326,13844
327,13844
328,13844
329,13844
330,13844
331,13844
332,13844
333,13844
334,13844
335,13835
336,13835
337,13835
338,13835
339,13835
340,13835
341,13835
342,13835
343,13835
344,13835
345,13835
346,13835
347,13835
348,13835
349,13835
350,13835
351,13835
352,13835
353,13835
354,13835
355,13835
356,13835
357,13835
358,13835
359,13835
360,13835
361,13835
362,13835
363,13835
364,13835
365,13835
366,13835
367,13835
368,13835
369,13835
370,13835
371,13835
372,13835
373,13835
374,13835
375,13835
376,13835
377,13835
378,13835
379,13835
380,13835
381,13835
382,13835
383,13835
384,13835
385,13835
386,13835
387,13835
388,13835
389,13835
390,13835
391,13835
392,13835
393,13835
394,13835
395,13835
396,13835
397,13835
398,13835
399,13835
400,13835
401,13835
