Iteration,Cost,Temperature
0,1464859,100
1,1464859,100
2,1464859,100
3,1450599,100
4,1450680,100
5,1430408,100
6,1430408,100
7,1430408,100
8,1430408,100
9,1430408,100
10,1430408,99
11,1367419,99
12,1367419,99
13,1367191,99
14,1367191,99
15,1353526,99
16,1320122,99
17,1320122,99
18,1282163,99
19,1282163,99
20,1282163,94.05
21,1278990,94.05
22,1278990,94.05
23,1272633,94.05
24,1264304,94.05
25,1264005,94.05
26,1264005,94.05
27,1264005,94.05
28,1264005,94.05
29,1264005,94.05
30,1262000,89.3475
31,1262000,89.3475
32,1262000,89.3475
33,1262000,89.3475
34,1262000,89.3475
35,1262000,89.3475
36,1262000,89.3475
37,1260899,89.3475
38,1247573,89.3475
39,1247573,89.3475
40,1247573,88.454
41,1218942,88.454
42,1217282,88.454
43,1208709,88.454
44,1203971,88.454
45,1203971,88.454
46,1203971,88.454
47,1204067,88.454
48,1204067,88.454
49,1204067,88.454
50,1204067,84.0313
51,1196211,84.0313
52,1196211,84.0313
53,1196211,84.0313
54,1192085,84.0313
55,1192085,84.0313
56,1192085,84.0313
57,1192085,84.0313
58,1192085,84.0313
59,1192085,84.0313
60,1191541,83.191
61,1191541,83.191
62,1184119,83.191
63,1184119,83.191
64,1182281,83.191
65,1182281,83.191
66,1182281,83.191
67,1182281,83.191
68,1182281,83.191
69,1182281,83.191
70,1182281,79.0315
71,1175621,79.0315
72,1173597,79.0315
73,1173597,79.0315
74,1173597,79.0315
75,1172513,79.0315
76,1167408,79.0315
77,1167408,79.0315
78,1167408,79.0315
79,1165483,79.0315
80,1164261,75.0799
81,1162759,75.0799
82,1162759,75.0799
83,1162759,75.0799
84,1162759,75.0799
85,1162759,75.0799
86,1162759,75.0799
87,1162759,75.0799
88,1162759,75.0799
89,1162759,75.0799
90,1162759,74.3291
91,1162759,74.3291
92,1157814,74.3291
93,1157814,74.3291
94,1150104,74.3291
95,1150104,74.3291
96,1150104,74.3291
97,1146960,74.3291
98,1145355,74.3291
99,1145549,74.3291
100,1145601,70.6126
101,1143738,70.6126
102,1143738,70.6126
103,1143738,70.6126
104,1143738,70.6126
105,1143738,70.6126
106,1143738,70.6126
107,1143738,70.6126
108,1143738,70.6126
109,1143738,70.6126
110,1143738,69.9065
111,1143738,69.9065
112,1143738,69.9065
113,1143738,69.9065
114,1139592,69.9065
115,1137416,69.9065
116,1137416,69.9065
117,1137416,69.9065
118,1133448,69.9065
119,1133448,69.9065
120,1133448,69.2074
121,1128328,69.2074
122,1128328,69.2074
123,1128328,69.2074
124,1122004,69.2074
125,1122004,69.2074
126,1120404,69.2074
127,1120404,69.2074
128,1117663,69.2074
129,1117663,69.2074
130,1117663,65.7471
131,1116855,65.7471
132,1116855,65.7471
133,1116855,65.7471
134,1116855,65.7471
135,1116855,65.7471
136,1116855,65.7471
137,1116855,65.7471
138,1116855,65.7471
139,1116855,65.7471
140,1116855,65.0896
141,1116855,65.0896
142,1116756,65.0896
143,1116756,65.0896
144,1116543,65.0896
145,1116543,65.0896
146,1116543,65.0896
147,1116543,65.0896
148,1116543,65.0896
149,1116543,65.0896
150,1116543,64.4387
151,1116543,64.4387
152,1116543,64.4387
153,1116543,64.4387
154,1115342,64.4387
155,1115342,64.4387
156,1115342,64.4387
157,1115342,64.4387
158,1115342,64.4387
159,1097126,64.4387
160,1097126,63.7943
161,1097126,63.7943
162,1097126,63.7943
163,1097126,63.7943
164,1097126,63.7943
165,1097126,63.7943
166,1097126,63.7943
167,1097126,63.7943
168,1097126,63.7943
169,1097126,63.7943
170,1097126,95.6915
171,1097126,95.6915
172,1097126,95.6915
173,1097126,95.6915
174,1097126,95.6915
175,1081948,95.6915
176,1081948,95.6915
177,1081948,95.6915
178,1081948,95.6915
179,1064050,95.6915
180,1060492,94.7346
181,1060252,94.7346
182,1060252,94.7346
183,1060252,94.7346
184,1060252,94.7346
185,1060252,94.7346
186,1060252,94.7346
187,1060252,94.7346
188,1060252,94.7346
189,1060252,94.7346
190,1060252,93.7872
191,1060252,93.7872
192,1060252,93.7872
193,1060252,93.7872
194,1060252,93.7872
195,1060252,93.7872
196,1058877,93.7872
197,1058877,93.7872
198,1058877,93.7872
199,1058877,93.7872
200,1058877,92.8493
201,1058877,92.8493
202,1058729,92.8493
203,1058729,92.8493
204,1058729,92.8493
205,1058729,92.8493
206,1058729,92.8493
207,1058729,92.8493
208,1058729,92.8493
209,1058729,92.8493
210,1058729,91.9208
211,1058729,91.9208
212,1058729,91.9208
213,1058729,91.9208
214,1058729,91.9208
215,1058729,91.9208
216,1058729,91.9208
217,1058729,91.9208
218,1058729,91.9208
219,1058597,91.9208
220,1058597,91.0016
221,1058597,91.0016
222,1058597,91.0016
223,1058597,91.0016
224,1058597,91.0016
225,1058194,91.0016
226,1058194,91.0016
227,1058194,91.0016
228,1058194,91.0016
229,1058194,91.0016
230,1058194,90.0916
231,1058194,90.0916
232,1058194,90.0916
233,1058194,90.0916
234,1058194,90.0916
235,1058194,90.0916
236,1058194,90.0916
237,1058194,90.0916
238,1051594,90.0916
239,1051594,90.0916
240,1051594,89.1907
241,1051594,89.1907
242,1050782,89.1907
243,1050782,89.1907
244,1050792,89.1907
245,1049659,89.1907
246,1049659,89.1907
247,1049659,89.1907
248,1049659,89.1907
249,1049659,89.1907
250,1049112,88.2988
251,1049112,88.2988
252,1049112,88.2988
253,1049112,88.2988
254,1049112,88.2988
255,1049112,88.2988
256,1049112,88.2988
257,1049112,88.2988
258,1049112,88.2988
259,1049112,88.2988
260,1049112,87.4158
261,1049112,87.4158
262,1049112,87.4158
263,1049112,87.4158
264,1049112,87.4158
265,1049112,87.4158
266,1049112,87.4158
267,1049112,87.4158
268,1049112,87.4158
269,1049112,87.4158
270,1049112,131.124
271,1048720,131.124
272,1048720,131.124
273,1044660,131.124
274,1044660,131.124
275,1044660,131.124
276,1044660,131.124
277,1044660,131.124
278,1044660,131.124
279,1044660,131.124
280,1044660,129.812
281,1044660,129.812
282,1044660,129.812
283,1044660,129.812
284,1044660,129.812
285,1044660,129.812
286,1042882,129.812
287,1042882,129.812
288,1042882,129.812
289,1042882,129.812
290,1042882,128.514
291,1042882,128.514
292,1042882,128.514
293,1042882,128.514
294,1042882,128.514
295,1042882,128.514
296,1038496,128.514
297,1038496,128.514
298,1038496,128.514
299,1038496,128.514
300,1038496,127.229
301,1038496,127.229
302,1038496,127.229
303,1038496,127.229
304,1038496,127.229
305,1038496,127.229
306,1038496,127.229
307,1038496,127.229
308,1038496,127.229
309,1038321,127.229
310,1038321,125.957
311,1038321,125.957
312,1038321,125.957
313,1038321,125.957
314,1038321,125.957
315,1038321,125.957
